 ,,,05-2017,06-2017,07-2017,08-2017,09-2017,10-2017,,,,,,,
,Fannie Mae Field Services Monthly Scorecard,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
PA,,Initial Exterior Rating,0.6875,0.75,0.701492537,0.68,0.711711712,0.7,,0.666666667,-0.035714286,0.702380952,,,
PA,,Overall Initial Services QC Score,0.828125,0.913043478,0.791044776,0.806666667,0.756756757,0.833333333,0.833333333,0.740740741,-0.039021164,0.779761905,,16,20
PA,BSO,Initial BSO Volume,128,140,113,130,100,54,,32,6.888888889,113,,,
PA,,Initial BSO % Passing,0.859375,0.892857143,0.849557522,0.9,0.94,0.888888889,,0.90625,-0.014103982,0.920353982,,20,20
PA,,Overall BSO % Passing,0.867088608,0.875,0.794520548,0.883435583,0.916666667,0.888888889,,0.891891892,-0.019219219,0.911111111,,10,10
PA,,Number of Reorders,30,28,33,33,20,9,,5,0.111111111,22,,,
PA,,Average Days to Complete Reorder,13.65,12.53571429,19.05882353,19.26086957,13.33333333,34,34,,-,,,0,10
PA,,Number of Failed BSO,18,15,17,13,6,6,,3,1,9,,,
PA,,% BSO Failed Interior,0.0625,0.064285714,0.053097345,0.053846154,0.05,0.037037037,,0.03125,,0.053097345,,,
PA,,% BSO Failed Exterior,0.0625,0.064285714,0.079646018,0.038461538,0.02,0.092592593,,0.09375,,0.03539823,,,
PA,,% BSO Failed Trash Removal,0.078125,0.05,0.088495575,0.046153846,0.03,0.037037037,,0.0625,,0.026548673,,,
PA,Ongoing Services,Ongoing Services Completed,0,0,0,0,0,0,,0,0,0,,,
PA,,Average Days to Complete Ongoing Interior,,,,,,,,,-,,,,
PA,,Average Days to Complete Ongoing Exterior,,,,,,,,,-,,,,
PA,,Ongoing Interior Maintenance % Overdue,,,,,,,,,-,,,,
PA,,Ongoing Exterior Maintenance % Overdue,,,,,,,,,-,,,,
